Annotator,link,question_number,Arabic passage,Arabic Question,Annotated Passage,Belebele problem?,,,,
Anonymous,https://en.wikibooks.org/wiki/Wikijunior:Ancient_Civilizations/Greeks,1,"""نعرف الكثير من السياسيين والعلماء والفنانين اليونانيين. قد يكون الشخص الأكثر شهرة الذين نعرفهم من هذه الثقافة هو هوميروس، الشاعر الأسطوري الذي فقد بصره، والذي ألف رائعتين من روائع الأدب اليوناني، ألا وهما الإلياذة والأوديسا. يُعد سوفوكليس وأريستوفان من كتاب المسرحيات المشهورين حتى الآن وتعد مسرحياتهما من أعظم الأعمال في الأدب العالمي. يونانيٌ شهيرٌ آخر هو عالم الرياضيات """"فيثاغورس""""، وهو غالباً ما عُرف بنظريته المشهورة حول العلاقات بين أضلاع المثلث القائم.""",ما الذي كان الشاعر اليوناني هومر غير قادر على القيام به؟,"`` نعرف الكثير من السياسيين والعلماء والفنانين اليونانيين . قد يكون الشخص الأكثر شهرة الذين نعرفهم من هذه الثقافة هو هوميروس، الشاعر الأسطوري الذي $! فقد بصره!$،  والذي ألف رائعتين من روائع الأدب اليوناني، ألا وهما الإلياذة والأوديسا . يُعد سوفوكليس وأريستوفان من كتاب المسرحيات المشهورين حتى الآن وتعد مسرحياتهما من أعظم الأعمال في الأدب العالمي . يونانيٌ شهيرٌ آخر هو عالم الرياضيات `` '' فيثاغورس '' '' ، وهو غالباً ما عُرف بنظريته المشهورة حول العلاقات بين أضلاع المثلث القائم . ''",BB,,,,
Anonymous,https://en.wikibooks.org/wiki/Wikijunior:Ancient_Civilizations/Greeks,2,"""نعرف الكثير من السياسيين والعلماء والفنانين اليونانيين. قد يكون الشخص الأكثر شهرة الذين نعرفهم من هذه الثقافة هو هوميروس، الشاعر الأسطوري الذي فقد بصره، والذي ألف رائعتين من روائع الأدب اليوناني، ألا وهما الإلياذة والأوديسا. يُعد سوفوكليس وأريستوفان من كتاب المسرحيات المشهورين حتى الآن وتعد مسرحياتهما من أعظم الأعمال في الأدب العالمي. يونانيٌ شهيرٌ آخر هو عالم الرياضيات """"فيثاغورس""""، وهو غالباً ما عُرف بنظريته المشهورة حول العلاقات بين أضلاع المثلث القائم.""",أي يوناني مشهور معروف بشيء آخر غير الأدب؟,"`` نعرف الكثير من السياسيين والعلماء والفنانين اليونانيين . قد يكون الشخص الأكثر شهرة الذين نعرفهم من هذه الثقافة هو هوميروس، الشاعر الأسطوري الذي فقد بصره، والذي ألف رائعتين من روائع الأدب اليوناني، ألا وهما الإلياذة والأوديسا . يُعد سوفوكليس وأريستوفان من كتاب المسرحيات المشهورين حتى الآن وتعد مسرحياتهما من أعظم الأعمال في الأدب العالمي . يونانيٌ شهيرٌ آخر هو عالم الرياضيات `` '' $!فيثاغورس!$ '' '' ، وهو غالباً ما عُرف بنظريته المشهورة حول العلاقات بين أضلاع المثلث القائم . ''",No,,,,
Anonymous,https://en.wikibooks.org/wiki/Wikijunior:Ancient_Civilizations/Hebrews,1,"في مناخ الشرق الأوسط الدافئ، لم يكن للمنزل أهميّة كبيرة. كانت معظم حياة العائلة العبرية في الهواء الطلق. كانت النساء تطبخ في الفناء؛ كانت المتاجر مجرد أنضاد مفتوحة تطل على الشارع. استُخدم الحجر في بناء المنازل. لم تكن هناك غابات كبيرة في أرض كنعان، لذلك كان الخشب باهظ الثمن.",أين كانت العائلة العبرية تقضي معظم وقتها؟,"في مناخ الشرق الأوسط الدافئ، لم يكن للمنزل أهميّة كبيرة. كانت معظم حياة العائلة العبرية $!في الهواء الطلق!$. كانت النساء تطبخ في الفناء؛ كانت المتاجر مجرد أنضاد مفتوحة تطل على الشارع. استُخدم الحجر في بناء المنازل. لم تكن هناك غابات كبيرة في أرض كنعان، لذلك كان الخشب باهظ الثمن.",No,,,,
Anonymous,https://en.wikibooks.org/wiki/Wikijunior:Ancient_Civilizations/Hebrews,2,"في مناخ الشرق الأوسط الدافئ، لم يكن للمنزل أهميّة كبيرة. كانت معظم حياة العائلة العبرية في الهواء الطلق. كانت النساء تطبخ في الفناء؛ كانت المتاجر مجرد أنضاد مفتوحة تطل على الشارع. استُخدم الحجر في بناء المنازل. لم تكن هناك غابات كبيرة في أرض كنعان، لذلك كان الخشب باهظ الثمن.",ما الذي لم يكن مهماً جداً للعائلة العبرية؟,"في مناخ الشرق الأوسط الدافئ، لم يكن $!للمنزل!$ أهميّة كبيرة . كانت معظم حياة العائلة العبرية في الهواء الطلق . كانت النساء تطبخ في الفناء؛ كانت المتاجر مجرد أنضاد مفتوحة تطل على الشارع . استُخدم الحجر في بناء المنازل . لم تكن هناك غابات كبيرة في أرض كنعان، لذلك كان الخشب باهظ الثمن .",No,,,,
Anonymous,https://en.wikibooks.org/wiki/Wikijunior:Ancient_Civilizations/Norse,2,"""لقد سكن غرينلاند القليل من البشر. يُحكى في الملحمات الإسكندنافية أن إريك الأحمر نُفى من أيسلندا بتهمة القتل، وعندما سافر غرباً، وجد غرينلاند وأطلق عليها غرينلاند. بغض النظر عن اكتشافه فإن قبائل الإسكيمو كانت تعيش هناك سابقاً. كانت هناك اختلافات كثيرة بين الناس والملوك والعادات والتاريخ في دول """"الدنمارك"""" و""""السويد"""" و""""النرويج"""" و""""أيسلندا""""،على الرغم من أن كل دولة كانت """"إسكندنافية"""".""",من سكن غرينلاند أولاً؟,"""لقد سكن غرينلاند القليل من البشر. يُحكى في الملحمات الإسكندنافية أن إريك الأحمر نُفى من أيسلندا بتهمة القتل، وعندما سافر غرباً، وجد غرينلاند وأطلق عليها غرينلاند. بغض النظر عن اكتشافه فإن $!قبائل الإسكيمو!$ كانت تعيش هناك سابقاً. كانت هناك اختلافات كثيرة بين الناس والملوك والعادات والتاريخ في دول """"الدنمارك"""" و""""السويد"""" و""""النرويج"""" و""""أيسلندا""""،على الرغم من أن كل دولة كانت """"إسكندنافية"""".""",No,,,,
Anonymous,https://en.wikibooks.org/wiki/Wikijunior:Ancient_Civilizations/Romans,1,"في حين أن معظم طعامهم سيكون مألوفًا لنا، فإن الرومان لديهم نصيبهم من عناصر العيد الغريبة أو غير العادية، بما في ذلك الخنازير البرية، والطاووس، والقواقع، ونوع من القوارض يسمى الزغبة كان هناك تباين آخر هو أنه بينما كان الفقراء والنساء يأكلون طعامهم وهم جالسون على المقاعد، كان الرجال الأغنياء يحبون إقامة الولائم سوية حيث يتكئون على جانبهم أثناء تناولهم واجباتهم. لم يكن من الممكن أن تتضمن الوَجَباتِ الرومانية القديمةِ الأطعمةَ التي جاءت إلى أوروبا من أمريكا أو من آسيا في القرون اللاحقة. على سبيل المثال، لم يكن لديهم ذرة، أو طماطم، أو بطاطس، أو كاكاو ولم يتذوق أي من الرومان القدامى الديك الرومي.",أي مجموعة تفضل تناول العشاء بدون كراسي؟,"في حين أن معظم طعامهم سيكون مألوفًا لنا، فإن الرومان لديهم نصيبهم من عناصر العيد الغريبة أو غير العادية، بما في ذلك الخنازير البرية، والطاووس، والقواقع، ونوع من القوارض يسمى الزغبة كان هناك تباين آخر هو أنه بينما كان الفقراء والنساء يأكلون طعامهم وهم جالسون على المقاعد، كان $!الرجال الأغنياء!$ يحبون إقامة الولائم سوية حيث يتكئون على جانبهم أثناء تناولهم واجباتهم. لم يكن من الممكن أن تتضمن الوَجَباتِ الرومانية القديمةِ الأطعمةَ التي جاءت إلى أوروبا من أمريكا أو من آسيا في القرون اللاحقة. على سبيل المثال، لم يكن لديهم ذرة، أو طماطم، أو بطاطس، أو كاكاو ولم يتذوق أي من الرومان القدامى الديك الرومي.",No,,,,
Anonymous,https://en.wikibooks.org/wiki/Wikijunior:Asia/Bhutan,1,"دروكيال دزونج هي قلعةٌ مُدَمّرةٌ ودير بوذي في الجزء العلوي من منطقة بارو (في قرية فوندي). يقال أن زبدرنج نغاوانغ نامجيال قد أنشأ في عام 1649 القلعة لإحياء ذكرى انتصاره على القوات التبتية المغولية. في عام 1951 أدى حريق إلى بقاء القليل من آثار الدروكغيال دزون، كصورة زابدرونغ زغاوانغ نامغيال على سبيل المثال. بعد الحريق، تم الحفاظ على القلعة وحمايتها، وبقيت واحدة من أكثر أماكن الجذب إثارةً في بوتان.",أي جملة حول دروكيال دزونج ليست صحيحة؟,X,No,,,,
Anonymous,https://en.wikibooks.org/wiki/Wikijunior:Asia/Bhutan,2,"دروكيال دزونج هي قلعةٌ مُدَمّرةٌ ودير بوذي في الجزء العلوي من منطقة بارو (في قرية فوندي). يقال أن زبدرنج نغاوانغ نامجيال قد أنشأ في عام 1649 القلعة لإحياء ذكرى انتصاره على القوات التبتية المغولية. في عام 1951 أدى حريق إلى بقاء القليل من آثار الدروكغيال دزون، كصورة زابدرونغ زغاوانغ نامغيال على سبيل المثال. بعد الحريق، تم الحفاظ على القلعة وحمايتها، وبقيت واحدة من أكثر أماكن الجذب إثارةً في بوتان.",أي جملة تصف بدقة نتائج الحريق في دروكيال دزونج؟,X,No,,,,
Anonymous,https://en.wikibooks.org/wiki/Wikijunior:Asia/Taiwan,2,"بدأت تايوان في طريق العودة في القرن الخامس عشر حيث سجّل البحارة الأوروبيين الذين يمرون اسم الجزيرة lha Formosa، أو الجزيرة الجميلة. في عام 1624، أنشأت شركة الهند الشرقية الهولندية قاعدة في جنوب غرب تايوان وبدأت في تغيير ممارسات إنتاج الحبوب الأصلية وتوظيف العمال الصينيين للعمل في مزارع الأرز والسكر. عام 1683، هيمنت جيوش أسرة تشينغ (1644-1912) على المناطق الساحلية الغربية والشمالية في تايوان وأعلنت تايوان مقاطعةً تابعةً لإمبراطورية تشينغ سنة 1885. في عام 1895 وبعد هزيمتها في الحرب الصينية اليابانية الأولى ما بين 1894 و 1895 وقعت حكومة تشينغ معاعدة شيمونوسكي، والتي تنازلت من خلالها عن سيادتها على التايوان لصالح اليابان التي حكمت الجزيرة حتى عام 1945.",ماذا أنشأت معاهدة شيمونوسيكي؟,"بدأت تايوان في طريق العودة في القرن الخامس عشر حيث سجّل البحارة الأوروبيين الذين يمرون اسم الجزيرة lha Formosa، أو الجزيرة الجميلة. في عام 1624، أنشأت شركة الهند الشرقية الهولندية قاعدة في جنوب غرب تايوان وبدأت في تغيير ممارسات إنتاج الحبوب الأصلية وتوظيف العمال الصينيين للعمل في مزارع الأرز والسكر. عام 1683، هيمنت جيوش أسرة تشينغ (1644-1912) على المناطق الساحلية الغربية والشمالية في تايوان وأعلنت تايوان مقاطعةً تابعةً لإمبراطورية تشينغ سنة 1885. في عام 1895 وبعد هزيمتها في الحرب الصينية اليابانية الأولى ما بين 1894 و 1895 وقعت حكومة تشينغ معاعدة شيمونوسكي، والتي $!تنازلت من خلالها عن سيادتها على التايوان لصالح اليابان!$ التي حكمت الجزيرة حتى عام 1945.",BB,,,,
Anonymous,https://en.wikibooks.org/wiki/Wikijunior:Big_Book_of_Fun_Science_Experiments/Red_cabbage_indicator,1,"يطلق عليه اسم رقم الأس الهيدروجيني للمادة الكيميائية، وبإمكانك صنع مؤشر لهذا الرقم باستخدام عصير الكرنب الأحمر. يتغير لون عصير الملفوف اعتمادًا على مدى حمضية المادة الكيميائية أو قلويتها. يُقاس مستوى الأُسّ الهيدروجيني من خلال عدد أيونات الهيدروجين (حرف الH في pH) في المادة الكيميائية المُراد اختبارها. أيونات الهيدروجين هي بروتونات منزوعة الإلكترونات (حيث أن ذرات الهيدروجين تتكون من بروتون واحد وإلكترون واحد).",كيف يُقاس مستوى الأس الهيدروجيني لمادة كيميائية؟,"يطلق عليه اسم رقم الأس الهيدروجيني للمادة الكيميائية، وبإمكانك صنع مؤشر لهذا الرقم باستخدام عصير الكرنب الأحمر. يتغير لون عصير الملفوف اعتمادًا على مدى حمضية المادة الكيميائية أو قلويتها. يُقاس مستوى الأُسّ الهيدروجيني $!من خلال عدد أيونات الهيدروجين (حرف الH في pH) في المادة الكيميائية!$ المُراد اختبارها. أيونات الهيدروجين هي بروتونات منزوعة الإلكترونات (حيث أن ذرات الهيدروجين تتكون من بروتون واحد وإلكترون واحد).",No,,,,
Anonymous,https://en.wikibooks.org/wiki/Wikijunior:Big_Book_of_Fun_Science_Experiments/Red_cabbage_indicator,2,"يطلق عليه اسم رقم الأس الهيدروجيني للمادة الكيميائية، وبإمكانك صنع مؤشر لهذا الرقم باستخدام عصير الكرنب الأحمر. يتغير لون عصير الملفوف اعتمادًا على مدى حمضية المادة الكيميائية أو قلويتها. يُقاس مستوى الأُسّ الهيدروجيني من خلال عدد أيونات الهيدروجين (حرف الH في pH) في المادة الكيميائية المُراد اختبارها. أيونات الهيدروجين هي بروتونات منزوعة الإلكترونات (حيث أن ذرات الهيدروجين تتكون من بروتون واحد وإلكترون واحد).",ما الذي أُزيل من أيونات الهيدروجين؟,"يطلق عليه اسم رقم الأس الهيدروجيني للمادة الكيميائية، وبإمكانك صنع مؤشر لهذا الرقم باستخدام عصير الكرنب الأحمر. يتغير لون عصير الملفوف اعتمادًا على مدى حمضية المادة الكيميائية أو قلويتها. يُقاس مستوى الأُسّ الهيدروجيني من خلال عدد أيونات الهيدروجين (حرف الH في pH) في المادة الكيميائية المُراد اختبارها. أيونات الهيدروجين هي بروتونات منزوعة $!الإلكترونات!$ (حيث أن ذرات الهيدروجين تتكون من بروتون واحد وإلكترون واحد).",No,,,,
Anonymous,https://en.wikibooks.org/wiki/Wikijunior:Big_Cats/Meet_The_Cats,1,"يوجد في مرتبة تحتهم المزيد من القطط متوسطة الحجم التي تتغذى على فرائس ذات حجم متوسط تتراوح ما بين الأرانب والظباء والغزلان. وأخيراً، يوجد العديد من القطط الصغيرة (بما فيهم القطط الأليفة السائبة) تأكل الفرائس الصغيرة الأكثر عدداً كالحشرات والقوارض والسحالي والطيور. سر نجاحهم هو مفهوم المكانة، وظيفة خاصة لكل قطة تمنعها من التنافس مع الآخرين.",الأرانب فريسة شائعة لأي نوع من الحيوانات المفترسة؟,"يوجد في مرتبة تحتهم المزيد من $!القطط متوسطة الحجم!$ التي تتغذى على فرائس ذات حجم متوسط تتراوح ما بين الأرانب والظباء والغزلان. وأخيراً، يوجد العديد من القطط الصغيرة (بما فيهم القطط الأليفة السائبة) تأكل الفرائس الصغيرة الأكثر عدداً كالحشرات والقوارض والسحالي والطيور. سر نجاحهم هو مفهوم المكانة، وظيفة خاصة لكل قطة تمنعها من التنافس مع الآخرين.",No,,,,
Anonymous,https://en.wikibooks.org/wiki/Wikijunior:Biology/Cells,2,"الخليّة هي أصغر الأجزاء البنيويّة والوظيفيّة في الكائنات الحيّة (الأشياء). تأتي كلمة الخليّة من الكلمة اللاتينية cella والتي معناها غرفةٌ صغيرةٌ. إذا وضعت كائنات حية تحت المجهر، فسوف تلاحظ أنها مكوّنة من مربعات أو كرات صغيرة. رأى روبرت هوك وهو عالمُ أحياء من إنجلترا مربعاتٍ صغيرةٍ في الفلين باستخدام المجهر. كان أول شخص يلاحظ الخلايا الميتة، والتي بدت مثل الغرف.","""ماذا يعني أصل كلمة """"خلية""""؟""","الخليّة هي أصغر الأجزاء البنيويّة والوظيفيّة في الكائنات الحيّة ( الأشياء ) . تأتي كلمة الخليّة من الكلمة اللاتينية cella والتي معناها $!غرفةٌ صغيرةٌ!$ . إذا وضعت كائنات حية تحت المجهر، فسوف تلاحظ أنها مكوّنة من مربعات أو كرات صغيرة . رأى روبرت هوك وهو عالمُ أحياء من إنجلترا مربعاتٍ صغيرةٍ في الفلين باستخدام المجهر . كان أول شخص يلاحظ الخلايا الميتة، والتي بدت مثل الغرف .",No,,,,
Anonymous,https://en.wikibooks.org/wiki/Wikijunior:Biology/Kingdoms/Plants,1,"تنتج النباتات الأكسجين الذي يتنفسه البشر، ويمتصون ثاني أكسيد الكربون الذي يخلفه البشر (أي الزفير). تصنع النباتات طعامها من الشمس من خلال التمثيل الضوئي. كما يوفرون الظل. نصنع بيوتنا وملابسنا من النباتات . معظم الطعام الذي نتناوله من النباتات كذلك. بدون النباتات، لا يمكن للحيوانات البقاء.",ما الذي يساعد النباتات في عملية التمثيل الضوئي؟,"تنتج النباتات الأكسجين الذي يتنفسه البشر، ويمتصون ثاني أكسيد الكربون الذي يخلفه البشر ( أي الزفير ) . تصنع النباتات طعامها من $!الشمس!$ من خلال التمثيل الضوئي . كما يوفرون الظل . نصنع بيوتنا وملابسنا من النباتات . معظم الطعام الذي نتناوله من النباتات كذلك . بدون النباتات، لا يمكن للحيوانات البقاء .",No,,,,
Anonymous,https://en.wikibooks.org/wiki/Wikijunior:Biology/Kingdoms/Plants,2,"تنتج النباتات الأكسجين الذي يتنفسه البشر، ويمتصون ثاني أكسيد الكربون الذي يخلفه البشر (أي الزفير). تصنع النباتات طعامها من الشمس من خلال التمثيل الضوئي. كما يوفرون الظل. نصنع بيوتنا وملابسنا من النباتات . معظم الطعام الذي نتناوله من النباتات كذلك. بدون النباتات، لا يمكن للحيوانات البقاء.",ما الذي يخرجه البشر وتستنشقه النباتات؟,"تنتج النباتات الأكسجين الذي يتنفسه البشر، ويمتصون $!ثاني أكسيد الكربون!$ الذي يخلفه البشر (أي الزفير). تصنع النباتات طعامها من الشمس من خلال التمثيل الضوئي. كما يوفرون الظل. نصنع بيوتنا وملابسنا من النباتات . معظم الطعام الذي نتناوله من النباتات كذلك. بدون النباتات، لا يمكن للحيوانات البقاء.",No,,,,
Anonymous,https://en.wikibooks.org/wiki/Wikijunior:Biology/Systems/Circulatory_System,1,العضو الرئيسي للجهاز الدوري هو القلب الذي يضخ الدم. يتحرك الدم بعيداً عن القلب في أنابيب تسمى الشرايين ويعود إلى القلب في أنابيب تسمى الأوردة. أصغر الأنابيب تسمى الشعيرات الدموية.,أي جزء من الدورة الدموية يجلب الدم نحو القلب؟,العضو الرئيسي للجهاز الدوري هو القلب الذي يضخ الدم. يتحرك الدم بعيداً عن القلب في أنابيب تسمى الشرايين ويعود إلى القلب في أنابيب تسمى $!الأوردة!$. أصغر الأنابيب تسمى الشعيرات الدموية.,No,,,,
Anonymous,https://en.wikibooks.org/wiki/Wikijunior:Biology/Systems/Circulatory_System,2,العضو الرئيسي للجهاز الدوري هو القلب الذي يضخ الدم. يتحرك الدم بعيداً عن القلب في أنابيب تسمى الشرايين ويعود إلى القلب في أنابيب تسمى الأوردة. أصغر الأنابيب تسمى الشعيرات الدموية.,ما هي الأنابيب الأصغر في جهاز الدورة الدموية؟,العضو الرئيسي للجهاز الدوري هو القلب الذي يضخ الدم. يتحرك الدم بعيداً عن القلب في أنابيب تسمى الشرايين ويعود إلى القلب في أنابيب تسمى الأوردة. أصغر الأنابيب تسمى $!الشعيرات الدموية!$.,No,,,,
Anonymous,https://en.wikibooks.org/wiki/Wikijunior:Europe/Luxembourg,1,لوكسمبورغ لديها تاريخ طويل ولكن استقلالها يعود إلى عام 1839. كانت الأجزاء الحالية من بلجيكا جزءاً من لوكسمبورغ في الماضي ولكنها أصبحت بلجيكية بعد الثورة البلجيكية في ثلاثينيات القرن التاسع عشر. حاولت لوكسمبورغ دائمًا أن تكون دولة حيادية ولكن ألمانيا احتلتها في الحرب العالمية الأولى والثانية. في عام 1957 أصبحت لوكسمبورغ عضواً مؤسساً في المنظمة التي تعرف اليوم بالاتحاد الأوروبي.,بعد أي حدث أصبحت أجزاء معينة من لوكسمبورغ بلجيكية؟,لوكسمبورغ لديها تاريخ طويل ولكن استقلالها يعود إلى عام 1839. كانت الأجزاء الحالية من بلجيكا جزءاً من لوكسمبورغ في الماضي ولكنها أصبحت بلجيكية بعد $!الثورة البلجيكية!$ في ثلاثينيات القرن التاسع عشر. حاولت لوكسمبورغ دائمًا أن تكون دولة حيادية ولكن ألمانيا احتلتها في الحرب العالمية الأولى والثانية. في عام 1957 أصبحت لوكسمبورغ عضواً مؤسساً في المنظمة التي تعرف اليوم بالاتحاد الأوروبي.,No,,,,
Anonymous,https://en.wikibooks.org/wiki/Wikijunior:Europe/Turkey,1,"تركيا الأوروبية (تراقيا الشرقية أو روميليا في شبه جزيرة البلقان) فتضم 3% من البلاد. يبلغ طول منطقة تركيا يصل أكثر من 1600 كيلومتر (1000 ميل) وعرضها 800 كيلومتر (500 ميل) ولها هيئة تشبه المستطيل. مساحة تركيا، بما في ذلك البحيرات، تحتل 783،562 كيلومتر مربع (300،948 ميل مربع) ، منها 755688 كيلومتر مربع (291،773 ميل مربع) في جنوب غرب آسيا و 23،764 كيلومتر مربع (9174 ميل مربع) في أوروبا. تمثل منطقة تركيا واحدة من أكبر 37 دولة في العالم، وهي بحجم دولتي متروبوليتان فرنسا والمملكة المتحدة معاً. تركيا محاطة بالبحار من ثلاث جهات: بحر إيجه من الغرب ، والبحر الأسود من الشمال والبحر الأبيض المتوسط من الجنوب.",كم كيلومتر مربع من مساحة تركيا الإجمالية في أوروبا؟,"تركيا الأوروبية (تراقيا الشرقية أو روميليا في شبه جزيرة البلقان) فتضم 3% من البلاد. يبلغ طول منطقة تركيا يصل أكثر من 1600 كيلومتر (1000 ميل) وعرضها 800 كيلومتر (500 ميل) ولها هيئة تشبه المستطيل. مساحة تركيا، بما في ذلك البحيرات، تحتل 783،562 كيلومتر مربع (300،948 ميل مربع) ، منها 755688 كيلومتر مربع (291،773 ميل مربع) في جنوب غرب آسيا و $!23،764!$ كيلومتر مربع (9174 ميل مربع) في أوروبا. تمثل منطقة تركيا واحدة من أكبر 37 دولة في العالم، وهي بحجم دولتي متروبوليتان فرنسا والمملكة المتحدة معاً. تركيا محاطة بالبحار من ثلاث جهات: بحر إيجه من الغرب ، والبحر الأسود من الشمال والبحر الأبيض المتوسط من الجنوب.",No,,,,
Anonymous,https://en.wikibooks.org/wiki/Wikijunior:Europe/Vatican_City,1,"يبلغ عدد سكان مدينة الفاتيكان حوالي ٨٠٠. وهي أصغر دولة مستقلة في العالم وأقل تعدادٍ سكانيِّ. تستخدم مدينة الفاتيكان اللغةَ الإيطالية في وضع تشريعاتها واتّصالاتها الرّسمية. الإيطاليّة أيضاً هي لغة الحياة اليوميّة التي يستخدمها معظم العاملين بالدولة، بينما تُستخدم اللاتينيّة عادةً في المراسم الدينيّة. جميع سكان مدينة الفاتيكان من الروم الكاثوليك.",لماذا تستخدم اللغة اللاتينية في مدينة الفاتيكان؟,"يبلغ عدد سكان مدينة الفاتيكان حوالي ٨٠٠. وهي أصغر دولة مستقلة في العالم وأقل تعدادٍ سكانيِّ. تستخدم مدينة الفاتيكان اللغةَ الإيطالية في وضع تشريعاتها واتّصالاتها الرّسمية. الإيطاليّة أيضاً هي لغة الحياة اليوميّة التي يستخدمها معظم العاملين بالدولة، بينما تُستخدم اللاتينيّة عادةً في $!المراسم الدينيّة!$. جميع سكان مدينة الفاتيكان من الروم الكاثوليك.",No,,,,
Anonymous,https://en.wikibooks.org/wiki/Wikijunior:Europe/Vatican_City,2,"يبلغ عدد سكان مدينة الفاتيكان حوالي ٨٠٠. وهي أصغر دولة مستقلة في العالم وأقل تعدادٍ سكانيِّ. تستخدم مدينة الفاتيكان اللغةَ الإيطالية في وضع تشريعاتها واتّصالاتها الرّسمية. الإيطاليّة أيضاً هي لغة الحياة اليوميّة التي يستخدمها معظم العاملين بالدولة، بينما تُستخدم اللاتينيّة عادةً في المراسم الدينيّة. جميع سكان مدينة الفاتيكان من الروم الكاثوليك.","في مدينة الفاتيكان، ما الذي لا تُستخدم اللغة الإيطالية فيه؟",X,No,,,,
Anonymous,https://en.wikibooks.org/wiki/Wikijunior:How_Things_Work/Laser,2,"""للعودة إلى مستوى الطاقة السابق، يجب أن يتخلصوا من الطاقة الإضافية التي حصلوا عليها من الضوء. يقومون بذلك عن طريق انبعاث جسيم ضوئي صغير يعرف ب """"الفوتون"""". يسمي العلماء هذه العملية """"الانبعاث المحفِّز للإشعاع"""" نظراً لاستخدام ضوء ساطع في تحفيز الذرات، مما يسبب انبعاث فوتون من الضوء وهو نوع ٌمن الإشعاع. تُظهرالصورة الموالية الذرات حين تنبعث منها الفوتونات. بالتأكيد تكون الفوتونات في الواقع أصغر بكثير من تلك الموجودة في الصورة. الفوتونات أصغر حتى من مكونات الذرات!""",ما الذي يجعل الذرة تبعث فوتوناً؟,"""للعودة إلى مستوى الطاقة السابق، يجب أن يتخلصوا من الطاقة الإضافية التي حصلوا عليها من الضوء. يقومون بذلك عن طريق انبعاث جسيم ضوئي صغير يعرف ب """"الفوتون"""". يسمي العلماء هذه العملية """"الانبعاث المحفِّز للإشعاع"""" نظراً ل$!استخدام ضوء ساطع في تحفيز الذرات!$، مما يسبب انبعاث فوتون من الضوء وهو نوع ٌمن الإشعاع. تُظهرالصورة الموالية الذرات حين تنبعث منها الفوتونات. بالتأكيد تكون الفوتونات في الواقع أصغر بكثير من تلك الموجودة في الصورة. الفوتونات أصغر حتى من مكونات الذرات!""",No,,,,
Anonymous,https://en.wikibooks.org/wiki/Wikijunior:How_Things_Work/Rocket,2,"عند اتصالك بشخص ما على بعد آلاف الأميال، فإنك تستخدم قمراً صناعياً. يستقبل القمر الصناعي بالفضاء المكالمة ثم يعكسها في نفس اللحظة تقريباً. أُرسل القمر الصناعي إلى الفضاء بواسطة صاروخ. يستخدم العلماء التلسكوبات في الفضاء لأن الغلاف الجوي لكوكب الأرض يشوه بعض الضوء والرؤية. يتطلب الأمر صاروخاً عملاقاً ارتفاعه أكثر من 100 قدم لوضع قمر اصطناعي أو منظار في الفضاء.",أي من هذه تستخدم لوضع تلسكوب في الفضاء؟,X,No,,,,
Anonymous,https://en.wikibooks.org/wiki/Wikijunior:How_Things_Work/Time,1,"الوقت شيء يحيط بنا ويؤثر على كلّ ما نقوم به، إلا أنه صعب على الفهم. وقد درس علماء الدين والفلسفة والعلوم الوقت لآلاف السنين. نحن نختبر الوقت كسلسلة من الأحداث التي تمر من المستقبل مروراً بالحاضر وحتى الماضي. وبالوقت أيضًا نقارن مدة (طول) الأحداث. بإمكانك أن تميّز بنفسك أن الوقت يمر عن طريق رصد عملية تكرار لحدث دوري، وهو الحدث الذي يتكرر باستمرار بشكل منتظم.",ما الذي يجب ملاحظته بشأن حدث دوري لتتبع مرور الوقت؟,X,No,,,,
Anonymous,https://en.wikibooks.org/wiki/Wikijunior:Kings_and_Queens_of_England/The_Anglo-Saxons,1,"وقد شهدت انكلترا فترةً طويلةً من السّلام بعد غزو دانلو. ومع ذلك، ففي سنة 991 وُوجهت إيذلريد من قبل أسطول الفايكينغ الأكبر منذ قرن الغوثروم الغابر. وكان قاد هذا الأسطول هو أولاف تريغفاسون، وهو نرويجي يطمح لاستعادة بلاده من السيطرة الدنماركية. بعد الانتكاسات العسكرية الأولية، استطاع إثيلريد الاتفاق مع أولاف، الذي عاد إلى النرويج في محاولةٍ لكسب مملكته بدرجات متفاوتة من النجاح.",من أي بلد كان أسطول تريغفاسون؟,"وقد شهدت انكلترا فترةً طويلةً من السّلام بعد غزو دانلو. ومع ذلك، ففي سنة 991 وُوجهت إيذلريد من قبل أسطول الفايكينغ الأكبر منذ قرن الغوثروم الغابر. وكان قاد هذا الأسطول هو أولاف تريغفاسون، وهو نرويجي يطمح لاستعادة بلاده من السيطرة الدنماركية. بعد الانتكاسات العسكرية الأولية، استطاع إثيلريد الاتفاق مع أولاف، الذي عاد إلى $!النرويج!$ في محاولةٍ لكسب مملكته بدرجات متفاوتة من النجاح.",No,,,,
